# ID|Name|Type|Rarity|Int|% In Lair|Treasure|Alignment|Number|AC|Move|HD|# Attacks|Damage|Spec Att|Spec Def|Magic Res|Size|Psi|PsiAttDef|XP|Armor|Weapon
2010|Baku|Monster|Rare|Exceptional to Genius (15-18)|0%|Nil|2|1 (2-5)|-2|21|12+12|3|3-18/2-12(x2)|Special|Special|20%|L (9')|182-204|BE/FGI|4900+18|Nil|Nil 
2011|Banderlog|Animal|Very Rare|Low to Average (5-10)|15%|Special|5|4-24|6|6, Cl 12|4|1|2-5|Special|Nil|Standard|S|Nil|Nil|64+4|Nil|Nil 
2012|Barghest|Outsider|Very Rare|High to Genius (13-18)|0%|Special|7|1-2|2 to -4|15|6+6 to 12+12|2|2-8 + HD|Special|Special|5%/HD|M-L|Nil|Nil|1275+10 to 7300+18|Nil|Nil 
2013|Barkburr|Plant|Rare|Non (0)|100%|Special|5|1-5|0 (8)|1/2 or Jp 20|2 to 6|1|1|Lignification|Spell immunities|Standard|S (2-3')|Nil|Nil|45+1 to 275+6|Nil|Nil 
2014|Basidirond|Plant|Rare|Unratable|60%|Incidental|8|1-2|4|6|5+5|1|2-8 + Smothering|Hallucinatory spores|Special|Special|M (6-7')|Nil|Nil|475+6|Nil|Nil 
2015|Basilisk - Greater|Magical Beast|Very Rare|Low (5-7)|50%|H|8|1-2|2|6|10|3|1-6(x2)/2-16|Special|Surprised only on 1 in 6|Standard|L (12')|Nil|Nil|3000+14|Nil|Nil 
2016|Bat|Animal|Common|Animal (1)|0%|Nil|5|1-100 (100-1000)|8|1, Fl 24 (B)|1/4|1|1|Special|Nil|Standard|S|Nil|Nil|1|Nil|Nil 
2017|Bat - Fire|Magical Beast|Very Rare|Semi (2-4)|50%|I|8|11-20|8|6, Fl 20 (B)|2|1|2-8|Nil|Immune to fire|Standard|S|Nil|Nil|28+2|Nil|Nil 
2018|Bat - Mobat|Animal|Rare|Low (5-7)|15%|C|8|1-8|7|3, Fl 15 (C)|4 to 6|1|2-8|Special|Special|Standard|M|Nil|Nil|150+5|Nil|Nil 
2019|Bear - Northern (Polar Bear)|Animal|Rare|Semi (2-4)|0%|Nil|5|1-6|6|12, Sw 9|8+8|3|1-10(x2)/2-12|Hugh 3-18|Nil|Standard|L (14')|Nil|Nil|900+12|Nil|Nil 
2020|Bee - Giant - Bumblebee|Vermin|Rare|Low (5-7)|10%|Nil|5|1|6|6, Fl 24 (E)|6+4|1|1-6 + poison|Sting|Nil|Standard|L|Nil|Nil|400+8|Nil|Nil 
2021|Bee - Giant - Soldier Honeybee|Vermin|Very Rare|Low (5-7)|90%|Nil|5|1|5|12, Fl 30 (D)|4+2|1|1-4 + poison|Sting once|Nil|Standard|M|Nil|Nil|200+5|Nil|Nil 
2022|Bee - Giant - Worker Honeybee|Vermin|Rare|Low (5-7)|20%|Nil|5|1-10|6|9, Fl 30 (D)|3+1|1|1-3 + poison|Sting once|Nil|Standard|M|Nil|Nil|150+4|Nil|Nil 
2023|Beetle - Death Watch|Magical Beast|Very Rare|Animal (1)|10%|Special|5|1|3|12|9|1|3-12|Death vibration|Camouflage|Standard|L (5')|Nil|Nil|1400+12|Nil|Nil 
2024|Beetle - Slicer|Vermin|Rare|Non (0)|25%|Special|5|1-3|3|6|6|1|2-16|Special|Nil|Standard|L|Nil|Nil|275+6|Nil|Nil 
2025|Behemoth|Animal|Rare|Animal (1)|0%|Nil|5|1-4|4|6, Sw 12|10+5|1|4-16 or 6-24|Special|Nil|Standard|L|Nil|Nil|1600+15|Nil|Nil 
2026|Behir|Monster|Rare|Low (5-7)|0%|Special|8|1-2|4|15|12|2 or 7|2-7/2-5 or 2-8/1-6(x6)|Lightning bolt|Immune to electricity and poison|Standard|L (40')|Nil|Nil|2850+16|Nil|Nil 
2027|Bloodthorn|Plant|Very Rare|Non (0)|0%|Nil|5|1|4 (tendrils), 3 (trunk)|Nil|5 to 30|1-4, 2-5, or 5-8|Special|Special|Nil|Standard|Special|Nil|Nil|800+35|Nil|Nil 
2028|Boalisk|Magical Beast|Rare|Animal (1)|0%|Nil|5|1-5|5|12|5+1|2|1-3/2-7|Gaze; Constriction|Nil|Standard|L|Nil|Nil|350+6|Nil|Nil 
2029|Bodak|Outsider|Very Rare|Low (5-7)|0%|Nil|8|1|5|6|9+9|1|By weapon|Death gaze|Special|Special|M|Nil|Nil|1950+14|Nil|Nil 
2030|Boggart (Immature Will o' Wisp)|Monster|Rare|Very to Exceptional (11-16)|0%|Nil|9|2-5|-6|18|6|1|2-12|Special|Special|Special|S(2'+)|Nil|Nil|625+6|Nil|Nil 
2031|Boggle|Monstrous Humanoid|Very Rare|Low (5-7)|25%|C|6|2-8|5|9|4+3|3|1-4(x3)|Rear claws for 1-4(x2)|Special|Standard|S|Nil|Nil|170+5|Nil|Nil 
2032|Boobrie|Animal|Rare|Animal (1)|0%|Nil|5|1-2|6|15, Fl 15 (D)|9|3|1-6(x2)/2-16|Surprise 2 in 6|Immune to poison|Standard|L (12')|Nil|Nil|900+12|Nil|Nil
2033|Bookworm|Vermin|Rare|Non (0)|25%|Special|5|1-2 (10-40)|2|12, Br 3|1/4|Nil|Nil|Special|Special|Standard|S|Nil|Nil|7+1|Nil|Nil 
2034|Bowler|Monster|Uncommon|Semi (2-4)|35%|Special|5|2-12|4|6|2-5 hp|1|2-5 (1/hp)|Special|Nil|Standard|S-M|Nil|Nil|5+1|Nil|Nil 
2035|Brownie - Buckawn|Fey|Rare|Average to Very (8-12)|10%|X|5|5-20|3|12|1-1|1|By weapon|Special|Special|10%|S(2'+)|Nil|Nil|65+1|Nil|Nil 
2036|Cat - Cheetah|Animal|Rare|Animal (1)|15%|Nil|5|1-4|5|15, Sp 45|3|3|1-2(x2)/2-8|Rear claws for 1-2(x2)|Surprised only on 1|Standard|M|Nil|Nil|65+3|Nil|Nil 
2037|Cat - Domestic|Animal|Common|Animal (1)|0%|Nil|5|1 (2-12)|6|15|1-5 hp|2|1-2/1|Rear claws for 1-2|Special|Standard|S|Nil|Nil|5+1|Nil|Nil 
2038|Cat - Elfin|Magical Beast|Very Rare|Semi to Low (2-7)|5%|Special|5|1|4|18|3+6|3|1-2(x2)/1-3|Special|Special|20%|S|Nil|Nil|135+4|Nil|Nil 
2039|Cat - Luck Eater|Magical Beast|Rare|Low (5-7)|0%|Nil|5|1|7|15|4|Nil|Nil|Special|Special|Standard|S (1')|Nil|Nil|125+4|Nil|Nil 
2040|Cat - Wild|Animal|Uncommon|Animal (1)|0%|Nil|5|1 (2-5)|5|18|1|3|1-2(x3)|Rear claws for 1-2(x2)|Special|Standard|S|Nil|Nil|10+1|Nil|Nil 
2041|Cat Lord|Magical Beast|Very Rare|Supra-genius (19-20)|.01%|S,T,W,X|5|Unique|-9|27, Sw 9, Jp 3|19 (81 hp)|3|7-12(x2)/9-16|Special|Special|90%|M|Nil|Nil|13900|Nil|Nil 
2042|Catfish - Giant|Animal|Rare|Animal (1)|0%|Nil|5|1|7|Sw 18|7 to 10|1|3-12|Poison spines; Swallow whole|Special|Standard|L (16-24')|Nil|Nil|650+12|Nil|Nil 
2043|Cave Cricket|Vermin|Rare|Animal (1)|0%|Nil|5|1-8|4|6, Jp 3|1+3|Nil|Nil|Jump; Kick|Nil|Standard|S-M|Nil|Nil|20+2|Nil|Nil 
2044|Cave Fisher|Monster|Rare|Semi (2-4)|100%|Incidental|5|1-4|4|Cl 1|3|2|2-8(x2)|Adhesive trap line|Special|Standard|M|Nil|Nil|85+3|Nil|Nil 
2045|Cave Moray|Vermin|Rare|Animal (1)|100%|Nil|5|4-16|0 (5)|1|4+4|1|2-8|Surprise on a 1-5|Withdraw into cyst|Standard|M|Nil|Nil|130+5|Nil|Nil 
2046|Centipede - Huge|Vermin|Common|Non (0)|0%|Nil|5|5-30|9|21|1/8|1|Nil|Poison|Nil|Standard|S (6")|Nil|Nil|31|Nil|Nil 
2047|Centipede - Megalo|Vermin|Very Rare|Animal (1)|0%|Nil|5|1-4|5|18|3|1|1-3|Poison|Nil|Standard|M (5')|Nil|Nil|125+3|Nil|Nil 
2048|Choke Creeper|Plant|Rare|Non (0)|0%|Nil|5|1|6 (5)|1/2|25|8 (or more)|1-4|Strangulation|Special|Standard|L|Nil|Nil|7600+35|Nil|Nil 
2049|Cloaker|Monster|Very Rare|High (13-14)|15%|C|6|1-4|3 (1)|1, Fl 15 (D)|6|2 + special|1-6(x2)|Special|Special|Standard|L|Nil|Nil|350+6|Nil|Nil 
2050|Cockatrice - Pyrolisk|Magical Beast|Rare|Low (5-7)|30%|D|8|1-4|6|6, Fl 18 (C)|43|1|1-4|Gaze|Immune to fire|Standard|S|Nil|Nil|240+5|Nil|Nil 
2051|Cooshee|Animal|Rare|Semi (2-4)|0%|Nil|5|1-8|5|16, Sp 21|3+3|1|7-10|Overbearing|Camouflage|Standard|M|Nil|Nil|110+4|Nil|Nil 
2052|Crane - Giant|Animal|Rare|Animal (1)|0%|Nil|5|1-20|5|9, Fl 18 (C)|3|1|1-10|Nil|Nil|Standard|M (7')|Nil|Nil|35+3|Nil|Nil 
2053|Crysmal|Outsider|Very Rare|High to Exceptional (13-16)|0%|Qx2 to Qx8|8|1-5|-4 (0)|6|6+6|1|3-12 or 2-8|Crystal missile|Special|Standard|S (3.5')|91-110|BC/F|825+10|Nil|Nil 
2054|Cyclopskin|Giant|Rare|Low to Average (5-10)|35%|C|9|1-8|3|12|5|1|By weapon +2|Nil|Nil|Standard|L (7.5')|Nil|Nil|90+5|Nil|Nil 
2055|Daemon - Charon (The Boatman of the Lower Planes)|Outsider|Unique|Godlike (21+)|0%|Nil|8|1|-5|18|140 hp|1|2-8 + paralysis|Gaze inspires fear|Nil|120% to 1st level spells|M (6')|300|All/All|22200+35|Nil|Nil 
2056|Daemon - Greater - Arcanadaemon|Outsider|Rare|Supra-genius (19-20)|10%|H|8|1-3|-2|12, Fl 18 (B)|13+39|4|1-4(x2)/2-16/1-6|Special|Special|100% to 1st level spells|M (6')|202-300|All/All|6950+18|Nil|Nil 
2057|Daemon - Greater - Ulthrodaemon|Outsider|Very Rare|Genius to Supra-genius (17-20)|25%|G,R|8|1|-5|15, Fl 15 (C), Sw 15|14+28|2|2-8(x2)|Special|+2 to hit|110% to 1st level spells|M (6.5')|Nil|Nil|8100+20|Nil|Nil 
2058|Daemon - Lesser - Charonadaemon|Outsider|Rare|Exceptional (15-16)|100%|I|8|1|-1|18|10+20|1|2-8|Gaze inspires fear|Nil|80% to 1st level spells|M (5')|Nil|Nil|5300+18|Nil|Nil 
2059|Daemon - Lesser - Dergheodaemon|Outsider|Uncommon|Low (5-7)|20%|Special|8|1-4|0|12|11+22|5|Special|Special|Special|80% to 1st level spells|L (8')|Nil|Nil|5800+16|Nil|Nil 
2060|Daemon - Lesser - Hydrodaemon|Outsider|Uncommon|Low (5-7)|5%|I,Y|8|2-8|2|6, Fl 6 (D), Sw 24|9+36|3 or 5|1-4(x2)/1-8(x2)/1-10|Energy drain|Special|70% to 1st level spells|L (10')|Nil|Nil|3450+14|Nil|Nil 
2061|Daemon - Lesser - Piscodaemon |Outsider|Common|Average to Very (8-12)|50%|E|8|3-12|-1|6, Sw 18|6|2|2-12(x2)|Special|Special|60% to 1st level spells|M (5')|Nil|Nil|455+6|Nil|Nil 
2062|Daemon - Lesser - Yagnodaemon|Outsider|Uncommon|Low (5-7)|30%|R|8|1-6|1|18|13+13|1|13-22|Special|Special|75% to 1st level spells|L (12')|Nil|Nil|7050+18|Nil|Nil 
2063|Daemon - Oinodaemon (Anthraxus)|Outsider|Unique|Godlike (21+)|50%|R,W|8|1|-6|18|233 hp|2|2-12(x2) + cause disease|Special|Special|120% to 1st level spells|L (9')|326-365|All/All|29555|Nil|Nil 
2064|Dao|Outsider|Rare|Low to Very (5-12)|0%|Nil|8|1 (10% 2-5)|3|9, Fl 15 (B), Br 6|8+3|1|3-18|Special|Special|Standard|L (8-11')|Nil|Nil|1600+12|Nil|Nil
2065|Demilich|Undead|Very Rare|Supra-genius (19-20)|100%|Z|8|1|-6|Special|50 hp|Special|Special|Special|Special|Special|M|Special|Special|5950+16|Nil|Nil 
2066|Demodand - Farastu (Tarry)|Outsider|Very Rare|Average to Exceptional (8-16)|Nil (25%)|Nil (A)|9|1 (2-12)|-1|15, Fl 30|11|3|2-7(x2)/3-12|Special|Special|11-20%|M (7')|Nil|Nil|2850+16|Nil|Nil 
2067|Demodand - Kelubar (Slime)|Outsider|Very Rare|Exceptional to Genius (15-18)|0%|Nil (A)|9|1 (1-10)|-2|12, Fl 24|13|3|2-8(x2)/4-16|Special|Special|26-37%|M (6.5')|Nil|Nil|3959+18|Nil|Nil 
2068|Demodand - Shator (Shaggy)|Outsider|Very Rare|Exceptional to Supra-genius (15-20)|Nil (40%)|Nil (Z)|9|1 (1-8)|-3|9, Fl 18|15|3|2-9(x2)/5-20|Special|Special|41-60%|M (6')|Nil|Nil|5250+20|Nil|Nil 
2069|Demon - Lord - Baphomet|Outsider|Unique|Genius (17-18)|40%|S,T,W,Z|9|1|-4|24|106 hp|3|2-12/5-8/by weapon|Special|+2 to hit|75%|L (12')|Nil|Nil|45000|Nil|Nil 
2070|Demon - Lord - Fraz-Urb'luu (Prince of Deception)|Outsider|Unique|Supra-genius (19-20)|20%|O,P,U,Z|9|1|-2|12, Fl 18 (D)|233 hp|3 and 1|Special|Special|Special|70% and special|L (18')|233|All/All|50000|Nil|Nil 
2071|Demon - Lord - Graz'zt (Demon Prince)|Outsider|Unique|Supra-genius (19-20)|60%|U,Z|9|1|-9|12|186 hp|2 or 4|By weapon +6|Special|+2 to hit|70%|L (8')|266|All/All|60000|Nil|Nil 
2072|Demon - Lord - Kostchtchie|Outsider|Unique|Supra-genius (19-20)|25%|A,I,S,T|9|1|-3|6|96 hp|1|By weapon +10|Special|Special|60%|M (7')|230|All/All|42500|Nil|Nil 
2073|Demon - Lord - Pazuzu (Prince of the Lower Aerial Kingdom)|Outsider|Unique|Supra-genius (19-20)|15%|S,T,U,V,W,X,Z|9|1|-9|13, Fl 36 (A), Cl 24|155 hp|1|By weapon +8|Special|+2 to hit|90%|M (7')|255|All/immune to psionic attack|65000|Nil|Nil 
2074|Demon - Major - Nabassu|Outsider|Very Rare|High (13-14)|5%|Special|9|1|4 to -5|15, Fl 15 (C)|5 + 2-20|3|2-8(x2)/3-12|Special|Special|5-50%|M (7')|Nil|Nil|1800+12 to 3300+12|Nil|Nil 
2075|Demon - Minor - Babau|Outsider|Uncommon|Very (11-12)|20%|C|9|1-3 (1-6)|-3|15|7+14|1 or 3|By weapon +7 or 2-5(x2)/2-8|Special|Special|50%|M (7')|140|ACE/FGH|2000+12|Nil|Nil 
2076|Demon - Minor - Bar-Lgura|Outsider|Uncommon|Very to High (11-14)|10%|C|9|1-3 (1-6)|-3|9, Cl 15|6+6|3|1-6(x2)/2-12|Special|Special|45%|M (5')|Nil|Nil|1725+10|Nil|Nil 
2077|Demon - Minor - Chasme|Outsider|Common|Average to Very (8-12)|5%|B|9|1-3 (1-6)|-1|6, Fl 21 (D)|7+2|3|2-8(x2)/1-4|Special|Special|40%|M (7')|Nil|Nil|1275+10|Nil|Nil 
2078|Demon - Minor - Dretch|Outsider|Common|Semi to Low (2-7)|15%|J,K,L,M|9|2-8 (5-20)|2|9|4|3|1-4(x2)/2-5|Special|Special|30%|S (3-4')|Nil|Nil|175+4|Nil|Nil 
2079|Demon - Minor - Rutterkin|Outsider|Common|Average (8-10)|20%|Lx10,Mx5,O,Q|9|1-4 (3-12)|1|12|5+1|1 or 2|By weapon or 2-7(x2)|Special|Special|40%|M (5-7')|Nil|Nil|425+6|Nil|Nil 
2080|Demon - Semi - Alu-Demon|Outsider|Rare|Very to Genius (11-18)|15%|S,T,U|9|1|5|12, Fl 12 (C)|6+2 to 6+6|1|By weapon +strength|Special|+1 to hit|30%|M (5.5-7')|Individuals only|Individuals only|3000+14 to 4050+14|Nil|Nil 
2081|Demon - Semi - Cambion - Baron/Marquis|Outsider|Very Rare|Very to Genius (11-18)|Special|Special|9|1|2|15|9 to 16|2|By weapon|Special|+1 to hit|25-40%|M-L (6-7.5')|As human|As human|4409+15 to 6500+20|Nil|Nil 
2082|Demon - Semi - Cambion - Major|Outsider|Very Rare|Average to Exceptional (8-16)|Special|Special|9|1|6|15|5 to 8|2|By weapon|Special|Nil|5-20%|M-L (6-7.5')|Nil|Nil|1275+10|Nil|Nil 
2083|Deva - Astral|Outsider|Very Rare|Genius (17-18)|0%|Nil|2|1-3|-6|18, Fl 32 (A), Sw 15|9+36|2|10-21(x2)|Special|Special|65%|M (7')|210|ABCE/FGH|10100+25|Nil|Nil 
2084|Deva - Monadic|Outsider|Rare|Genius (17-18)|0%|Nil|2|1-4|-4|15, Fl 36 (B), Sw 18|8+32|2|7-16(x2)|Special|Special|60%|M (6')|Nil|Nil|8100+20|Nil|Nil 
2085|Deva - Movanic|Outsider|Uncommon|Exceptional (15-16)|0%|Nil|2|1-6|-5|12, Fl 30 (B), Sw 21|7+28|2|By weapon +5|Special|Special|55%|M (6.5')|Nil|Nil|7850+18|Nil|Nil 
2086|Devil - Arch - Belial|Outsider|Unique|Genius (17-18)|75%|A,S,T,Y|7|1|-4|9, Fl 15 (B)|154 hp|2|By weapon +7|Special|Special|80%|L (10')|279|All/All|30000|Nil|Nil 
2087|Devil - Arch - Mammon|Outsider|Unique|Genius (17-18)|65%|H,R|7|1|-3|6, Fl 12 (D)|139 hp|2|By weapon +7|Special|Special|75%|L (12')|259|All/All|32000|Nil|Nil 
2088|Devil - Arch - Mephistopheles|Outsider|Unique|Supra-genius (19-20)|70%|R,X,Z|7|1|-6|15, Fl 18 (C)|188 hp|2|By weapon +9|Special|Special|85%|L (9')|309|All/All|49000|Nil|Nil 
2089|Devil - Arch - Moloch|Outsider|Unique|Exceptional (15-16)|95%|I,R,S,T,X|7|1|-3|12|126 hp|3|8-11(x2)/4-16|Special|Special|70%|L (14.5')|226|All/All|42000|Nil|Nil 
2090|Devil - Duke - Amon|Outsider|Unique|Genius (17-18)|60%|G,P|7|1|-2|18|126 hp|2|3-12/By weapon +7|Special|Special|70%|L (9')|229|All/All|30000|Nil|Nil 
2091|Devil - Duke - Bael|Outsider|Unique|Exceptional (15-16)|55%|G,P|7|1|-3|12|106 hp|2|By weapon +6|Special|Special|70%|L (8')|206|All/All|35000|Nil|Nil 
2092|Devil - Duke - Hutijin|Outsider|Unique|Genius (17-18)|30%|G|7|1|-4|9, Fl 18|111 hp|2|By weapon +8|Special|Special|65%|L (13.5')|275|All/All|30000|Nil|Nil 
2093|Devil - Duke - Titivilus|Outsider|Unique|Supra-genius (19-20)|35%|G,S,T|7|1|-2|15, Fl 30 (D)|86 hp|2|By weapon +3|Special|Special|75%|M (5.5')|239|All/All|29000|Nil|Nil 
2094|Devil - Least - Nupperibo|Outsider|Common|Special|0%|Nil|7|10-100|9|6|1|2 or 1|By weapon or 1-2(x2)|Nil|Regeneration|Standard|M|Nil|Nil|18+1|Nil|Nil 
2095|Devil - Least - Spined|Outsider|Common|Low to Average (5-10)|10%|Nil|7|2-5 (5-20)|3|6, Fl 18 (C)|3+3|1 or 2|By weapon or 1-4(x2)|Special|Special|25%|S (3')|Nil|Nil|240+4|Nil|Nil 
2096|Devil - Lesser - Abishai - Black|Outsider|Common|Average (8-10)|20%|Nil|7|1-4 (2-8)|2|9, Fl 12|8|1|5-14|Special|Special|35%|L (8')|Nil|Nil|855+10|Nil|Nil
2097|Devil - Lesser - Abishai - Blue|Outsider|Common|Average (8-10)|35%|Nil|7|1-4 (3-12)|3|15, Fl 15|5+1|1|5-10|Special|Special|20%|M (5')|Nil|Nil|550+6|Nil|Nil 
2098|Devil - Lesser - Abishai - Green|Outsider|Common|Average (8-10)|30%|Nil|7|1-3 (3-9)|3|12, Fl 15|6|1|4-10|Special|Special|25%|M (6')|Nil|Nil|550+6|Nil|Nil 
2099|Devil - Lesser - Abishai - Red|Outsider|Common|Average (8-10)|40%|Nil|7|1-4 (3-12)|1|18, Fl 18|4+2|2|2-5(x2)|Special|Special|40%|S (4')|Nil|Nil|320+5|Nil|Nil 
2100|Devil - Lesser - Abishai - White|Outsider|Common|Average (8-10)|25%|Nil|7|1-3 (3-13)|3|9, Fl 15|7|2|4-9(x2)|Special|Special|30%|M (7')|Nil|Nil|650+8|Nil|Nil 
2101|Devil - Lesser - Bearded|Outsider|Common|Average to Very (8-12)|15%|Nil|7|1-2 (4-10)|1|15|6+6|1 or 3|1-8/1-2(x2) or by weapon|Special|Special|45%|M (6.5')|Nil|Nil|1125+10|Nil|Nil 
2102|Devil - Princess - Glasya|Outsider|Unique|Exceptional (15-16)|80%|I,Qx5,S|7|1|-2|15, Fl 30 (B)|69 hp|2|By weapon +4|Special|Special|60%|L (9')|206|All/All|20000|Nil|Nil 
2103|Diakk|Outsider|Common|Low to Average (5-10)|25%|Nil|8|2-16|0 (3)|21 or 12|6+6 or 8+8|1 or 2|1-12 or 2-8(x2)|Special|Special|30%|M-L|Nil|Nil|1300+12|Nil|Nil 
2104|Dinosaur - Ankisaurus|Animal|Common|Non (0)|0%|Nil|5|2-20|7|12|2|1|1-4|Nil|Climbing|Standard|M (7')`|Nil|Nil|20+2|Nil|Nil 
2105|Dinosaur - Camptosaurus|Animal|Common|Non (0)|0%|Nil|5|2-16|7|9|1 to 3|0|0|Nil|Nil|Standard|S-L|Nil|Nil|5+1|Nil|Nil 
2106|Dinosaur - Compsognathus|Animal|Common|Non (0)|0%|Nil|5|1-12|5|10|1-1|1|1-3|Surprise on 1-3|Nil|Standard|S (1.5')|Nil|Nil|5+1|Nil|Nil 
2107|Dinosaur - Dacentrurus|Animal|Uncommon|Non (0)|0%|Nil|5|2-8|3 (6)|9|10|1|2-16|Nil|Special|Standard|L (15')|Nil|Nil|900+14|Nil|Nil 
2108|Dinosaur - Deinonychus|Animal|Rare|Non (0)|0%|Nil|5|1-6|4|21, Jp 1|4+1|3|1-2(x2)/2-8|Gutting talons for 2-12|Nil|Standard|L (12')|Nil|Nil|130+5|Nil|Nil 
2109|Dinosaur - Dilophosaurus|Animal|Rare|Non (0)|0%|Nil|5|1-3|5|18, Jp 1|8+2|3|2-12(x2)/1-6|Nil|Nil|Standard|L (20')|Nil|Nil|600+12|Nil|Nil 
2110|Dinosaur - Dimetrodon|Animal|Uncommon|Non (0)|0%|Nil|5|1 or 2|4|12, Sw 6|3 to 5|1|6-15|Nil|Nil|Standard|L (9')|Nil|Nil|65+4|Nil|Nil 
2111|Dinosaur - Euparkeria|Animal|Common|Non (0)|0%|Nil|5|2-8|5|15|1+1|1|2-5|Nil|Nil|Standard|S(3')|Nil|Nil|20+2|Nil|Nil 
2112|Dinosaur - Kentrosaurus|Animal|Uncommon|Non (0)|0%|Nil|5|1-6|2 (6)|9|11|1|4-16|Nil|Nil|Standard|L (16')|Nil|Nil|2000+16|Nil|Nil 
2113|Dinosaur - Mamechisaurus|Animal|Uncommon|Non (0)|0%|Nil|5|1-6|7|6|18|1|2-16|Special|Nil|Standard|L (80')|Nil|Nil|3000+25|Nil|Nil 
2114|Dinosaur - Massopondylus|Animal|Uncommon|Non (0)|0%|Nil|5|4-16|5|15|7|1|3-12|Nil|Nil|Standard|L (18'+)|Nil|Nil|225+8|Nil|Nil 
2115|Dinosaur - Nothosaurus|Animal|Uncommon|Non (0)|0%|Nil|5|1|8|3, Sw 18|14|1 and 2|5-30 and 3-12(x2)|Nil|Nil|Standard|L (60'+)|Nil|Nil|1800+18|Nil|Nil 
2116|Dinosaur - Ornitholestes|Animal|Rare|Non (0)|0%|Nil|5|2-12|4|24|2|1|2-8|Nil|Nil|Standard|M (6.5')|Nil|Nil|20+2|Nil|Nil 
2117|Dinosaur - Phororhacos|Animal|Uncommon|Non (0)|0%|Nil|5|2-12|6|15, Jp 1|7+7|3|1-4(x2)/2-12|Special|Nil|Standard|L (10')|Nil|Nil|600+10|Nil|Nil 
2118|Dinosaur - Podokesaurus|Animal|Uncommon|Non (0)|0%|Nil|5|3-12|4|21|2+2|3|1(x2)/2-5|Nil|Nil|Standard|S (10')|Nil|Nil|35+3|Nil|Nil 
2119|Dinosaur - Pterosaur - Giant|Animal|Rare|Non (0)|0%|Nil|5|1-8|5|3, Fl 12 (D)|6+6|1|3-12|Diving attack surprises 3 in 6|Nil|Standard|L (50')|Nil|Nil|350+8|Nil|Nil 
2120|Dinosaur - Struthiomimus|Animal|Uncommon|Non (0)|0%|Nil|5|1-6|6|18|6+3|3|1-2(x2)/2-8|Nil|Nil|Standard|L (16')|Nil|Nil|225+8|Nil|Nil 
2121|Dinosaur - Tanystropheus|Animal|Rare|Non (0)|0%|Nil|5|1|5|6, Sw 18|6+6|1|5-12|Surprises 5 in 6|Nil|Standard|L (31-40')|Nil|Nil|373+10|Nil|Nil 
2122|Dinosaur - Tennodontosaurus|Animal|Rare|Non (0)|0%|Nil|5|1 (10% 2)|4|Sw 24|10|1 and 1|5-20 and 2-12|Nil|Nil|Standard|L (30'+)|Nil|Nil|1500+14|Nil|Nil 
2123|Dog - Moon Dog|Outsider|Rare|High to Exceptional (13-16)|0%|N|2|1 (2-8)|2, 0, or -2|30|8+16|1|3-12|Special|Special|25%|M (3')|Nil|Nil|2000+12|Nil|Nil 
2124|Dog - Yeth Hound|Magical Beast|Very Rare|Low (5-7)|100%|Incidental|8|4-16|0|15, Fl 27 (B)|3+3|1|2-8|Fear|+1 or silver to hit|10%|L (4-5')|Nil|Nil|235+4|Nil|Nil 
